object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
615,349.046051,-61.943836,320.79652999999996,-51.753706,1,0.0,0.0,0.0,,0.017,92
713,53.085938,-27.784405,223.52550899999997,-54.460747999999995,1,1.8181,1.6267,0.2552,45.4063,0.006999999999999999,88
730,33.574219,-6.579592999999999,170.455585,-61.548218999999996,1,0.232,0.2262,0.0157,40.2561,0.021,42
745,0.18987300000000001,-45.586655,328.254458,-68.969298,1,0.3037,0.2813,1.1523,40.7951,0.006999999999999999,90
1124,352.711273,-63.823657999999995,316.922299,-51.059403,1,0.1934,0.2415,0.0176,40.4166,0.024,90
1227,35.683594,-5.379379,171.992947,-59.253501,1,0.0,0.0,0.0,,0.02,65
1598,347.84671000000003,-64.760857,318.929827,-49.143596,1,0.1352,0.182,0.0304,39.7279,0.019,90
1632,348.595886,-63.07261999999999,320.02328900000003,-50.71306,1,0.6857,0.7014,0.01,43.1524,0.021,42
1920,149.414062,3.4338339999999996,234.919132,42.24555,1,0.3088,0.3229,0.336,41.1401,0.027000000000000003,90
1926,149.414062,1.940072,236.565366,41.393322999999995,1,0.0,0.0,0.0,,0.018000000000000002,65
2072,0.965665,-46.37508,325.845907,-68.579427,1,0.1516,0.19,0.0104,39.8317,0.006999999999999999,90
2103,346.5,-62.3204,321.951129,-50.736053999999996,1,0.1695,0.5409,0.2283,42.4667,0.02,42
2300,359.44671600000004,-44.20153,331.730015,-69.805709,1,0.236,2.7474,0.5335,46.7959,0.01,42
2330,359.805206,-46.768478,327.135979,-67.829903,1,0.4541,0.5736,0.2827,42.6207,0.011000000000000001,90
2624,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65
2677,53.96484399999999,-28.630989000000003,225.14295,-53.813613000000004,1,0.0,0.0,0.0,,0.009000000000000001,16
2922,352.398651,-62.696659,318.017427,-51.967966,1,0.1539,0.1469,0.0094,39.2171,0.02,67
3041,346.130127,-63.07261999999999,321.42310299999997,-50.042305,1,0.1069,0.1274,0.0198,38.88,0.02,67
3285,150.820312,1.6415099999999998,237.99450699999997,42.358984,1,0.161,0.1818,0.0079,39.7258,0.02,42
3423,349.615387,-63.636005000000004,318.92724599999997,-50.506541999999996,1,1.9876,1.1213,0.1591,44.4078,0.018000000000000002,95
